abandon   v.放弃
early  a. 早的 ad. 早地 
earn  vt. 挣得，赚得 
earth  n. 地球；土，泥；大地 
earthquake  n. 地震 
east  a. 东方的；东部的；
Easter  n. 复活节 
eastern  a. 东方的；东部的 
easy  a. 容易的，不费力的 
easygoing a. 随和的 
eat  v. 吃 
edge  n. 边缘 
edition  n. （发行物的）版，版（本） 
editor  n. 编辑 
educate  vt. 教育，培养 
educator  n. 教育家 
education  n. 教育，培养 
effect  n. 效果；作用 
effort  n. 努力，艰难的尝试 
egg  n. 蛋；卵 
either  a. 两方任一方的… 
elder  n. 长者；前辈
elect  vt. （投票）选举 
electric  a. 电的 
electrical  a. 电的；电器的 
electricity  n. 电；电流 
electronic  a. 电子的 
elephant  n. 象 
eleven  num. 十一 
else  ad. 别的，其他的 
embarrass  v. 使。。困窘
embassy  n. 大使馆 
emergency  n. 紧急情况或状态 
emperor  n. 皇帝 
empire  n. 帝国 
employ  vt. 雇佣 
empty  a. 空的 
encourage  vt. 鼓励 
encouragement  n. 鼓励 
end  n. 末尾；终点；v. 结束，终止 
ending  n. 结局；结尾，最后 
endless  a. 无止境的； 没完的 
enemy  n. 敌人；敌军 
energetic  a. 精力旺盛的 
energy  n. 精力，能量 
engine  n. 发动机，引擎 
engineer  n. 工程师；技师 
England  英国
English  a. 英国的，英语的 n. 英语 
Englishman  n.英国人
enjoy  vt. 欣赏；享受……之乐趣；喜欢
enjoyable  a. 愉快的；有趣的 
enlarge  vt. 扩大 
enough  a. 足够的；充分的 
enter  vt. 进入 
enterprise  n.企业
entertainment  n. 娱乐
enthusiastic  a.热情的
entire  a. 整个的，全部的
entrance  n. 入口；入场 
entry  n. 进入 
envelope  n. 信封
environment  n. 环境 
envy  vt.& n. 忌妒； 羡慕 
equal  a. 平等的 vt. 等于，使等于 
equality  n. 平等 
equip  vt. 提供设备；装备；配备 
equipment  n. 装备，设备 
eraser  n. 橡皮擦；黑板擦 
Erupt   v.喷出，爆发
escape  n.& vi. 逃跑；逃脱
especially  ad. 特别，尤其 
essay  n. 散文；文章；随笔 
Europe  n. 欧洲 
European  a. 欧洲的n. 欧洲人 
even  ad. 甚至，连（……都）；更 
evening  n. 傍晚，晚上 
event  n. 事件，大事
eventually  ad.  最终地 
ever  ad. 曾经；无论何时 
every  a. 每一，每个的 
everybody  pron. 每人，人人 
everyday  a. 每日的； 日常的 
everyone  pron. 每人，人人 
everything  pron. 每件事，事事 
evidence  n.证据
evolution  n.进化
everywhere  ad. 到处 
exact  a. 精确的；确切的 
exam = examination n. 考试
examine  vt. 检查；诊察 
example  n. 例子；榜样 
excellent  a. 极好的，优秀的 
except  prep. 除……之外 
exchange  n. 交换，掉换；交流 
excite  vt. 使兴奋，使激动 
exciting   a.兴奋的
excuse  n. 借口；辩解 vt. 原谅；宽恕 
exercise  n. 锻炼，做操；练习， vi. 锻炼 
exhibition  n. 展览；展览会 
exist  vi. 存在 
expand  v.使。。膨胀
existence  n. 存在； 生存； 存在物 
exit  n. 出口，太平门 
expect  vt. 预料；盼望；认为 
expectation  n. 预料；期望 
expedition  n. 远征(队)； 探险(队) 
expense  n. 消费； 支出 
expensive  a. 昂贵的 
experience  n. 经验；经历 
experiment  n. 实验 
expert  n. 专家，能手 
explain  vt. 解释，说明 
explanation  n. 解释，说明 
explode  v. （使）爆炸 
exploit  vt. 开采，开发；利用；剥削 
explore  v. 探险 
export  v.出口
expose  vt. 揭露 
express  vt. 表达,表情 n. 快车，特快专递 
expression  n. 表达；词句；表示；表情 
Extension  n.延长，扩充
extra  a. 额外的，外加的 
extraordinary  a. 离奇的； 使人惊奇的 
extremely  ad. 极其，非常 
extreme  a.极端的
eye  n. 眼睛 
eyesight  n. 视力；视觉 
face  n. 脸 vt. 面向；面对 
facial  a. 面部用的 
fact  n. 事实，现实 
factory  n. 工厂 
fade  vi. 褪色，（颜色）消退 
fail  v. 失败；不及格；衰退 
failure  n. 失败 
fair a. 公平的，合理的 
fair  a. (肤色)白皙的； （人）白肤金发的
fair  n. 集市；庙会；展览会 
fairly  ad. 公正地，正当地
fairness  n. 公平；公正 
faith  n. 信仰；信念 
fall n. （美）秋季 
fall  vi. 落（下），降落；倒 
false  a. 不正确的；假的 
familiar  a. 熟悉的 
family  n. 家庭；家族；子女 
famous  a. 著名的 
fan n. （电影、运动等的）迷； 
fan  n. 风扇 
fancy   a.奇特的
fantastic(口语)极好的，美妙的，很棒的  
fantasy  a. n.  幻想，梦想 
far   a.远的；adv.远地 
fare  n. （乘车或船等的）费用，票（价） 
fantastic  a.幻想的，奇异的
fantasy  n.幻想，白日梦
farm  n. 农场；农庄 
farmer  n. 农民 
fast  a. 快的，迅速的
fasten  vt. 扎牢；扣住 
fat  n. 脂肪 a. 胖的；肥的 
father  n. 父亲 
fault  n. 缺点，毛病 
favour  n. 恩惠；好意；帮助 
favourite  a. 喜爱的 
fax  n. 传真 
fear  n. 害怕；恐惧； 担忧 
feast  n.盛宴
feather  n. 羽毛 
February  n. 2月 
federal  a. 中央的（政府等）；联邦的 
fee  n. 费，费用 
feed  vt. 喂（养）；饲（养） 
feel  v.& link 感觉，觉得；摸，触 
feeling  n. 感情；感觉 
fellow  n. 同伴；伙伴 
female  a. 女的；女性的；雌性的 
fence  n. 栅栏；围栏；篱笆 
ferry  n. 渡船 
festival  a. 节日的，喜庆的 
fetch  vt. （去）取（物）来，（去）带（人）来 
fever  n. 发烧；发热 
few  pron. 不多；少数 不多的；少数的 
fiction  n. 虚构，小说
field  n. 田地；牧场；场地 
fierce  a. 猛烈的 
fifteen  num. 十五 
fifth  num. 第五 
fifty  num. 五十 
fight  n. 打仗（架），争论 
figure  n. 数字；人的）身型；人物；
file  n. 公文柜；档案，（计算机）文档 
fill  vt. 填空，装满 
film  n. 电影；影片；胶卷
vt. 拍摄，把……拍成电影 
final   a. 最后的；终极的 
finance  n.财政，金融
find  vt. 找到，发现，感到 
fine  a. ；晴朗的；身体健康的
fine  n.& v. 罚款 
finger   n. 手指 
finish  v. 结束；做完 
fire  n. 火；火炉；火灾 vi. 开火
fireworks  n. 焰火 
firm  n. 公司； 企业 
firm  a. 坚固的，坚定的 
first  num. 第一 a.& ad. 第一
fish  n. 鱼；鱼肉 vi. 钓鱼；捕鱼 
fist  n. 拳(头) 
fit  a. 健康的, 适合的 v.（使）适合，安装 
five  num. 五 
fix  vt. 修理；安装； 确定，决定 
flag  n. 旗；标志；旗舰 
flame  n. 火焰，光辉 
flaming  a. 火红的；火焰般的 
flash  n. 闪；闪光； 转瞬间 
flashlight  n. 手电
flat  a. 平的 n. 楼中一套房间
flee  v. 逃走；逃跑 
flesh  n. 肉 
flexible  a.灵活的
flight  n. 航班 
flight n. 楼梯的一段 
float  vi. 漂浮，浮动 
flood  n. 洪水 vt. 淹没，使泛滥
floor  n. 地面，地板；（楼房的）层 
flour  n. 面粉，粉 
flow  vi. 流动 
flower  n. 花 
flu  n. 流行性感冒 
fluently  ad.流利地
fluent  流利的
fly n. 飞行；苍蝇 
fly  vi. （鸟、飞机）飞；
fog  n. 雾 
foggy  a. 多雾的 
fold  vt. 折叠；合拢 
folk  a. 民间的 
follow  vt. 跟随；仿效；跟得上 
fond  a. 喜爱的，爱好的 
food  n. 食物，食品 
fool  n. 傻子，蠢人 
foolish  a. 愚蠢的，傻的 
foot  n. 足，脚；英尺 
football  n. （英式）足球；（美式）橄榄球 
for  prep. 为了……
forbid (forbade, for bidden) vt. 禁止，不许 
force  vt. 强迫，迫使 
forecast  n. & vt. 预告 
forehead  n. 前额 
foreign  a. 外国的 
foreigner  n. 外国人 
forest  n. 森林 
forever  ad. 永远；永恒的 
forget (forgot, for gotten) v. 忘记；忘掉 
forgive  vt. 原谅，宽恕 
fork  n. 叉，餐叉 
form  n. 表格；形式；结构 
former  a. 以前的，（两者之中的）前者 
fortnight  n. 十四日，两星期 
fortunate  a. 幸运的； 侥幸的
fortune  n. 财产；运气 
forty  num. 四十 
forward  ad. 将来，今后；向前，前进 
found  vt. 成立，建立 
founding  n. 成立，建立 
fountain  n. 喷泉 
four  num. 四  
fourth num. 第四 
fox  n. 狐狸 
fragile  a.易碎的
framework  n.构架，框架
France  n. 法国 
free  a. 自由的，空闲的；免费的 
freedom  n. 自由 freeway n. 高速公路 
freeze  vi. 结冰  
French  n. 法语 ;法国人的；法语的 
Frenchman  n. 法国人（男） 
frequent  a. 经常的；频繁的 
fresh  a. 新鲜的 
Friday  n. 星期五 
fridge =refrigerator n. 冰箱 
fried  a. 油煎的 
friend  n. 朋友 
friendly  a. 友好的 
friendship  n. 友谊，友情  
frighten  vt. 使惊恐，吓唬
frog  n. 青蛙 
from  prep. 从；从……起；来自 
front  a. 前面的； n. 前面；前线 
frontier  n. 前沿 ，边界；前线 
frost  n. 霜 
fruit  n. 水果；果实 
fruit juice  n. 果汁 
fry  vt. 用油煎；用油炸 
fuel  n. 燃料 
full  a. 满的，充满的；完全的 
fun  n. 有趣的事，娱乐，玩笑 
function  n.功能，作用
fundamental  a. 基本的
funeral  n. 葬礼 
funny  a. 有趣的，滑稽可笑的
fur  n. 毛皮；皮子 
furniture  n. （总称）家具 
future  n. 将来  vt. 赢得；挣得 
gallery  n. 画廊；美术品陈列室 
gallon  n. 加仑 
game  n. 游戏；运动；比赛 
garage  n. 汽车间（库） 
garbage  n. 垃圾 
garden  n. 花园，果园，菜园 
garment   n.衣服，外衣
gas  n. 煤气 
gate  n. 大门 
gather  v. 聚集；采集 
general  a. 大体的，笼统的，总的 
generation  n. 代，一代 
gentle  a. 温柔的，轻轻的 
gentleman  n. 绅士，先生 
geometry  n. 几何学 
German  a. 德国的 n. 德国人，德语 
Germany  n. 德国 
gesture  n. 姿势，手势 
get (got , got) vt. 成为；得到
get-together  n. 聚会 
gift  n. 赠品； 礼物  
giraffe  n. 长颈鹿 
girl  n. 女孩 
give  vt. 给；递给 
glad  a. 高兴的；乐意的 
glance  vi. 匆匆一看； 一瞥 
glare  v. 瞪眼；怒目而视；闪耀 
glass  n. 玻璃杯；玻璃；(复)眼镜 
globe  n. 地球仪；地球 
glory  n. 巨大的光荣；荣誉；赞美 
glove  n. 手套 
glue  n. 胶水 
go  vi. 去；走 
goal  n. （足球）球门，目标 
goat  n. 山羊 
god  n. 神，（大写）上帝 
gold  n. 黄金 a 金的，黄金的 
golden  a. 金(黄)色的 
golf  n. 高尔夫球 
good  a. 好；良好 
goodbye  int. 再见；再会 
goods  n. 商品，货物
goose  n. 鹅 
govern  v. 统治； 管理
government  n. 政府  
grade  n. 等级；（中小学的）学年；分数 
gradually  ad. 逐渐地 
gradual  a.逐渐的
graduate  v. 毕业 
graduation  n. 毕业，毕业典礼 
grain  n. 谷物，谷类 
gram  n. 克(重量单位) 
grammar  n. 语法 
grand  a. 宏伟的 
granny  n. 老奶奶；祖母；外婆 
grape  n. 葡萄 
grasp  v. 抓住；紧握 
graph   n.图表
grass  n. 草；草场；牧草 
grateful  a. 感激的，感谢的 
gravity  n.重力
great  a. 伟大的；重要的 
Greece  n. 希腊 
greedy  a. 贪婪的 
Greek  a. n. 希腊的， 希腊人，希腊语 
green  a. 绿色的；青的 n. 绿色  
greet  vt. 问候； 向……致敬 
greeting  n. 祝贺 
grey / gray  a. 灰色的； 灰白的 
grocer  n. 零售商人；食品店 
grocery  n.杂货店
ground  n. 地面 
group  n. 组，群 
grow  v. 生长；种植；变成 
guarantee  v.保证
guard  n. 防护装置，警戒 
guess  vi. 猜 
guest  n. 客人，宾客 
guidance  n. 引导，指导 
guide  n. 向导，导游者 
guilty  a. 有罪的；犯法的；做错事的 
guitar  n. 吉他，六弦琴 
gun  n. 枪，炮
guy  n.家伙，人
gym  n.体操； 体育馆； 健身房 
gymnastics  n. 体操 
habit  n. 习惯，习性 
hair  n. 头发 
haircut  n. （男子）理发 
half  a.& n. 半，一半，半个
hall  n. 大厅，会堂，礼堂；过道 
ham  n. 火腿 
hamburger  n. 汉堡包 
hammer  n. 锤子，锣锤
hand   n. 手；指针
v. 递；给；交付 交上；交进 
handbag  n. 女用皮包，手提包 
handful  n. （一）把； 少数，少量 
handkerchief  n. 手帕 
handle   n. 柄，把?v. 处理 
handsome  a. 英俊的  
handwriting   n. 书法 
hang v. 处（人）绞刑；上吊
hang  v.悬挂，吊着；把……吊起 
happen  vi. （偶然）发生  
happiness  n. 幸福，愉快 
happy   a. 幸福的；快乐的，高兴的 
harbour   n. 港口 
hard  ad. 努力地；a.硬的；困难的；艰难的 
hardly   ad. 几乎不 
hardship   n. 困难 
hardworking   a. 努力工作的 
harm   n.&v. 伤害；损伤 
harmful    a. 有害的；致伤的  
harvest   n.& vt. 收割，收获（物） 
hat   n. 帽子(一般指有边的)；礼帽  
hate   vt.& n. 恨，讨厌 
have  vt. 有；吃；喝；
hawk   n. 鹰 
hay   n. 作饲料用的干草
he   pron. 他 
head   n. 头；头脑(像)；才智；
headache   n. 头疼 
headline   n. （报刊的）大字标题 
headmaster   n. （英）中小学校长 
health   n. 健康，卫生 
healthy    a. 健康的，健壮的 
hear  v. 听见；听说,得知 
hearing   n. 听力 
heart   n. 心；心脏；纸牌中的红桃 
heat   n. 热 vt. 把……加热 
heaven   n. 天，天空 
heavy   a. 重的 
heel   n. 脚后跟 
height    n. 高，高度 
helicopter    n. 直升飞机 
Hello   int. 喂；你好 
helmet   n. 头盔 
help   n. & vt. 帮助，帮忙 
helpful   a. 有帮助的，有益的 
hen   n. 母鸡 
her   pron. 她(宾格),她的 
herb    n. 草药 
here   ad. 这里，在这里；向这里 
hero   n. 英雄，勇士，男主角 
heroine   n. 女英雄，女主角 
hers   pron. 她的（名词性物主代词） 
herself   pron. 她自己 
Hi   int. 你好 
hide  v. 把……藏起来，隐藏 
high   a. 高的；高度的 ad. 高地 
highway  n. 公路
hill   n. 小山；丘陵；土堆；斜坡 
him   pron. 他（宾格） 
himself   pron. 他自己 
hire   vt. 租用 
his   pron. 他的 
history   n. 历史，历史学 
hit  n.& vt. 打，撞，击中 
hobby   n. 业余爱好，嗜好 
hold  vt.拿；握住；举行；进行 
hole   n. 洞，坑 
holiday   n. 假日；假期 
holy   a. 神圣的 
home   n. 家 ad. 到家；回家 
homeland   n. 祖国 
hometown   n. 故乡 
homework   n. 家庭作业 
honest   a. 诚实的，正直的 
honey   n. 蜂蜜 
honour  n. 荣誉，光荣 vt. 尊敬，
hope   n.& v. 希望 
hopeful   a. 有希望的；有前途的〖〗
hopeless   a. 没有希望的；不可救药的  
horse   n. 马 
hospital n. 医院 
host   n. 主人；节目主持人 v. 做主人招待 
hostess   n. 女主人 
hot   a. 热的 
hot dog   n. 热狗(红肠面包) 
hotel   n. 旅馆，饭店，宾馆 
hour   n. 小时 
house   n. 房子；住宅 
housewife   n. 家庭主妇 
housework   n. 家务劳动 
how   ad. 怎样，如何；多少；多么 
however  ad. 可是 conj. 然而，
howl   vi. 嚎叫，嚎哭 
hug   v.拥抱
huge   a. 巨大的，庞大的 
human  n人类
humorous   a. 富于幽默的 
humour  n. 幽默, 幽默感 
hundred  num. 百 
hunger   n. 饥饿 
hungry   a. （饥）饿的 
hunt   vt. 寻找；狩猎，猎取 
hurricane   n. 飓风，十二级风 
hurry    vi. 赶快；急忙 
hurt  vt. 伤害，受伤；伤人感情 
husband   n. 丈夫
hydrogen    n. 氢 
I   pron. 我 
ice   n. 冰 
ice cream    n. 冰淇淋 
idea   n. 主意，意见，打算，想法 
identification  n.认出，证明
identify  v.认出，证明  
idiom   n. 习语，成语 
if   conj. 如果，假使；是否，是不是 
ignore   v.不注意，忽视
ill   a. 有病的；不健康的 
illegal   a.不合法的
illness   n. 疾病 
imagine   vt. 想像，设想 
immediate   a. 立即的，马上 
immediately  ad. 立即 
immigration   n. 移民 
import    v.& n. 进口，输入 
importance   n. 重要性 
important   a. 重要的 
impossible   a. 不可能的 
impress   vt. 留下极深的印象 
impression  n. 印象，感觉 
improve   vt. 改进，更新 
in   prep. 在……里(内) 
inch   n. 英寸 
incident   n. 事件 
include   vt. 包含，包括 
income   n. 收入，所得 
increase   v. & n. 增加，繁殖 
indeed   a. 确实； 实在 
independence   n. 独立 
independent   a. 独立的； 有主见的 
India  n. 印度 
Indian   a. （美洲）印地安人的； 
indicate   v. 指出，显示
influence   n.& v. 影响 
infer    v.推断
Inform   vt. 告诉； 通知 
information   n. 信息  
injure   vt. 损害，伤害 
injury   n. 受伤处 
ink   n. 墨水，油墨 
inn    n. 小旅店；小饭店 
Innocent  a无辜的，无罪的
insect  n. 昆虫
insert   vt. 插入 
inside   prep. 在……里面 ad. 在里面 
insist   vi. 坚持；坚决认为 
inspect   vt. 检查；检验；审视 
inspire    vt. 鼓舞； 激励 
instant    a. 瞬间；刹那 
instead   ad. 代替，顶替 
institute   n. (研究)所, 院，学院 
institution   n. 公共机构； 学校 
instruct   vt. 通知； 指示；教 
instruction   n. 说明，须知；教导 
instrument   n. 乐器；工具，器械 
insurance   n. 保险 
insure   vt. 给……保险 
intelligence  n.智力
intend   vt. 想要，打算 
intention  n.目的，打算
interest   n. 兴趣，趣味；利息 
interesting   a. 有趣的 
international   a. 国际的 
Internet   n. 互联网，
 interpreter   n. 翻译 
interrupt   v. 打扰，打断 
interval   n. 间歇；间隔 
interview   n.& vt. 采访，会见，面试 
into    prep. 到……里；向内；变成 
introduce   vt. 介绍 
introduction   n. 引进，介绍 
invent   vt. 发明，创造 
invention   n. 发明，创造  
invitation   n. 邀请，请帖 
invite   vt. 邀请，招待  
iron   n. 铁，熨斗 vt. 熨烫 
island   n. 岛 
it   pron. 它 
its   pron. 它的 
itself   pron. 它自己 
jacket   n. 短上衣，夹克衫 
jam   n. 果酱；阻塞 
January   n. 1月 
Japan  n. 日本
Japanese   a. 日本的， n. 日本人，日语 
jar   n. 罐子； 坛子 
jazz   n. 爵士音乐，爵士舞曲 
jeans  n. 牛仔裤 
jet   n. 喷气式飞机；喷射（器） 
jewelry   n. （总称）珠宝 
job   n. （一份）工作 
jog   v. 慢跑 
join   v. 参加，加入；连接；会合 
joke   n. 笑话 
journalist   n. 记者，新闻工作者 
journey   n. 旅行，路程 
joy   n. 欢乐，高兴，乐趣 
judge   n. 裁判；  法官 vt. 判断，断定 
judgment   n. 裁判 
juice   n. 汁、液 
juicy   a. 多汁的；水分多的 
July   n. 7月
jump   n. 跳跃；跳变 v. 跳跃；
June  n. 6月 
jungle   n. 丛林，密林 
junior  a. 初级的；年少的 
junk   n. （口语）废品，破烂货 
just   ad. 刚才；恰好；不过；仅
just  a. 公正的 
justice  n. 正义； 公正；司法 
keep  v. 保持；保存；
key   n. 钥匙；答案；键；关键 
keyboard   n. 键盘 
kick  v.& n. 踢 
kid   n. 小孩 
kill   v. 杀死，弄死 
kilo   n. 千克；千米 
kilogram   n. 千克 
kilometer  n. 千米（公里）
kind   n. 种；类 a. 善良的；友好的 
kindergarten   n. 幼儿园 
Kind-hearted   a. 好心的 
kindness   n. 仁慈；善良 
king   n. 国王 
kingdom   n. 王国
kiss  n.& vt. 吻，亲吻 
kitchen  n. 厨房 
kite   n. 风筝 
knee   n. 膝盖 
knife  n. 小刀；匕首；刀片 
knock   n.& v. 敲；打；击 
know v. 知道，了解；
knowledge   n. 知识，学问 
lab = laboratory n. 实验室
labour  n. 劳动  
lack   n.& vt. 缺乏，缺少 
ladder   n. 梯子 
lady   n. 女士，夫人 
lake   n. 湖 
lamb   n. 羔羊 
lame   a. 跛的，瘸的 ，残废的 
lamp   n. 灯，油灯；光源 
land   n. 陆地；土地 v. 登岸（陆）；降落 
language   n. 语言 
lap  n. (人坐时)膝部；(跑道的)一圈 
large l 大的；巨大的 
last   a. 最近刚过去的；最后的  
last  v. 持续 
late   a. 晚的，迟的 ad. 晚地，迟地 
lately  ad. 最近，不久前 
later  a． 晚些的，迟些的 
latest   a. 最近的，最新的；最晚的
latter   n. （两者之中的）后者 
laugh   n.& v. 笑，大笑；嘲笑 
laughter   n. 笑； 笑声 
laundry   n. 洗衣店；要洗的衣服  
law   n. 法律，法令；定律 
lawyer  n. 律师 
lay  vt. 放，搁 
lazy   a. 懒惰的 
lead n. 铅 
lead  v. 领导，带领 
leader   n. 领袖，领导人 
leaf  n. （树，菜）叶 
league   n. 联盟，社团 
leak   vi. 漏； 渗 
learn  vt. 学，学会 
learned  a. 有才华的； 博学的
least   n. 最少，最少量 
leather  n. 皮革 
leave  v. 离开；把……留下 
lecture  n. 讲课，演讲 
left   a. 左边的 ad. 向左 n. 左，左边 
Left-handed  a. 惯用左手的 
leg   n. 腿；腿脚；支柱 
legal  a.合法的
lemonade   n. 柠檬水 
lend  vt. 借（出）,把……借给 
length   n. 长，长度，段，节 
lesson   n. 课；功课；教训 
let  vt. 让 
letter   n. 信；字母 
level   n. 水平线，水平 
liberate  vt. 解放，使获自由 
liberation   n. 解放 
liberty  n.自由,特权
librarian  n. 图书管理员 
library   n. 图书馆，图书室 
license   n. 执照，许可证 
lid   n. 盖子
lie   n.& vi. 谎言; 说谎 
lie  v. 躺；卧；平放；位于
life  n. 生命；生涯；生活
lifetime  n. 一生，终生 
lift  v. 举起，（云、烟等）消散
lift  n. （英）电梯 
light   n. 光，光亮；灯，vt. 点燃 a. 浅色的 
lightning   n.闪电 
like  prep. 像，跟……一样 
like  vt. 喜欢，喜爱 
likely  a.很可能的 
limit   vt. 限制；减少 
line   n. 绳索，线，排，行v. （使）成行 
link   v. 连接； 联系 
lion   n. 狮子
lip   n. 嘴唇 
liquid   n. & a. 液体；液体的 
list   n. 一览表，清单 
listen   vi. 听,仔细听 
literature   n. 文学 
literary   a. 文学的 
litre  n. 升； 公升(容量单位) 
litter   v. 乱丢杂物 
little  a. 小的，少的 
live   vi. 生活；居住；活着 
live  a. 活的，活着的；现场（直播）的 
lively   a. 活泼的； 充满生气的 
load   n. 担子，货物 
loaf   n. 一个面包 
local  a. 当地的； 地方的 
lock   n. 锁 vt. 锁，锁上 
lonely  a. 孤独的，寂寞的 
long  a. 长的，远 ad. 长久 
look   n. 看，瞧 v. 看，观看 
link n.联系
loose   a. 松散的； 宽松的 
lorry   n. （英）运货汽车，卡车 
loss   n. 丧失； 损耗 
lose  vt. 失去，丢失  
lot   n. 许多，好些 
loud   a. 大声的 
love   n.& vt. 爱；热爱；很喜欢 
lovely   a. 美好的，可爱的 
low   a.& ad. 低；矮 
luck   n. 运气，好运  
luggage  n. (总称)行李 
lunch   n. 午餐，午饭 
lung   n. 肺； 肺脏 
male n. 雄的；男性的 
machine  n. 机器 
mad   a. 发疯的；生气的 
madam/ madame   n. 夫人，女士 
magazine   n. 杂志 
magic   a. 有魔力的 
maid   n. 女仆； 侍女 
mail   n. 邮政，邮递 v. （美）邮寄 
mailbox   n. 邮筒； 邮箱
main   a. 主要的 
mainland   n. 大陆 
major   a. 较大的； 主要的 
majority   n. 大多数 
make vt. 制造，做；使得 
make   n. 样式；制造 
male   a. 男（性）的；雄的 
man  n. 成年男人；人，人类 
manage   v. 管理；设法对付 
manager   n. 经理 
mankind   n. 人类；（总称）人 
manner   n. 方式，态度，举止 
map   n. 地图  
marathon   n. 马拉松 
marble   n. 大理石；玻璃弹子 
march  n. 游行，行进 
March   n. 3月
mark   n. 标记 vt. 标明，作记号于 
market   n. 市场，集市 
marriage   n. 结婚，婚姻 
marry （使）成婚，结婚 
Marxism  n.马克思主义
mask  n. 口罩；面罩(具)；v. 戴面具 
mass  n. 众多； 大量；（复）群众 
master  vt. 精通，掌握 
match  vt. 使相配，使成对
match  n. 比赛，竞赛 
match  n. 火柴 
material  n. 材料，原料 
Mathematics， math  数学 
matter  n. 要紧事，问题 vi. 有重大关系 
mature  a.成熟的
maximum  a.& n. 最大量(的)； 
may  modal v. 可以；也许，可能 
May   n. 5月 
maybe  ad. 可能，大概，也许 
me   pron. 我（宾格） 
meal  n. 一餐（饭） 
mean vt. 意思是 
meaning  n. 意思，含意 
means  n. 方法，手段；财产 
meanwhile  ad. 同时 
measure   v. 量 
meat   n. （猪、牛、羊等的）肉 
medal   n. 奖牌 
medical   a. 医学的，医疗的 
medicine  n. 药 
medium  n.媒体；中间的，中等的 
meet  vt. n. 遇见，见到 会；集会
meeting  n. 会；集会；会见；汇合点 
member  n. 成员，会员 
memorial  n. 纪念馆 
memory  n. 回忆，记忆 
mend  v. 修理，修补 
mental  a. 精神的；脑力的 
mention  n. 提及；记载 vt. 提到
menu  n. 菜单 
merchant  a. 商业的；n. 商人
mercy  n. 怜悯 
merely  ad. 仅仅，只不过 
merry  a. 高兴的，愉快的 
mess  n. 凌乱 
message  n. 消息，音信 
messy  a. 乱七八糟的 
metal  n. 金属 a. 金属制成的 
method  n. 方法，办法 
metre  n. 米，公尺 
Mid-autumn n. 中秋 
middle  n. 中间；当中；中级的 
midnight  n. 午夜 
might  v. aux. (may的过去式)可能，也许 
mild  a. 温和的，暖和的，凉爽的
mile  n. 英里 
milk  n. 牛奶 vt. 挤奶 
million  num. 百万 n. 百万个（人或物） 
millionaire  n. 百万富翁 
mind  n. 思想，想法 
mind v. 介意，关心 
mine n. 矿藏，矿山 vt. 开采（矿物） 
mine pron. 我的〈名词性物主代词〉 
mineral  n. 矿物质，矿物 
minister  n. 部长；牧师 
minority  n. 少数；少数民族 
minus prep. & a. 负的，减去的 
minute  n. 分钟；一会儿，瞬间 
mirror  n. 镜子 
miss  vt. 失去，错过，缺 
Miss  n. 小姐，女士(称呼未婚妇女)
missile  n导弹 
mist  n. 雾 
mistake  n. 错误 vt. 弄错 
mistaken   a. 错误的 
misunderstand  v. 误会；不理解 
mix  v. 混合，搅拌 
mixture  n. 混合物  
model  n. 模型，原形；范例；模范 
modern  a. 现代的
modest  a. 谦虚的；谦逊的 
moment  n. 片刻，瞬间 
Monday  n. 星期一 
money  n. 钱；货币 
monitor  n. （班级内的）班长；监视器 
monkey  n. 猴子 
month  n. 月，月份 
monument  n. 纪念碑，纪念物 
moon  n. 月球；月光；月状物
moon cake  n. 月饼 
moral  a. n.道德的 寓意，道德启示 
morning  n. 早晨，上午
mosquito  n.蚊子  
mother  n. 母亲 
motivation  n.动机
motor  n. 发动机，马达 
motorbike  n. 摩托车 
motto  n. 箴言，格言 
mountain(s)  n. 山，山脉 
mountainous  a. 多山的 
mouse  n. 鼠；（计算机）鼠标 
moustache  n. 小胡子 
mouth  n. 嘴，口 
mouthful  n. 满口，一口  
move  v. 移动，搬动，搬家 
movement  n. 运动，活动 
movie  n. （口语）电影  
much  a. 许多的，大量的 
mud  n. 泥, 泥浆 
murder  vt. 谋杀 
museum  n. 博物馆，博物院 
mushroom  n. 蘑菇 
music  n. 音乐，乐曲 
musical  a. 音乐的
musician  n. 音乐家，乐师 
must   必须，应当； 必定是 
mutton  n. 羊肉 
my   pron. 我的 
myself  pron. 我自己 
nail   n. 钉，钉子 
name  n. 名字，姓名，名称 vt. 命名
narrow  a. 狭窄的 
nation  n. 民族，国家 
national  a. 国家的 
nationality  n. 国籍 
nationwide  ad. 全国范围内的
native  a. 本土的，本国的 
natural  a. 自然的 
nature  n. 自然, 性质，种类 
navy  n. 海军 
near  a. 近的 ad. 附近，邻近 
nearby  a. 附近的 
nearly  ad. 将近，几乎 
neat  a. 整洁的； 灵巧的 
necessary  a. 必需的，必要的 
neck  n. 颈，脖子 
need  n. 需要，需求
needle  n. 针 
neighbour  n. 邻居，邻人 
Negotiate  v. 商议，谈判
neighborhood  n. 四邻；邻近地区 
neither  a. （两者）都不；也不 
nephew  n. 侄子，外甥 
nervous  a. 紧张不安的 
nest  n. 巢； 窝 
net  n. 网 
network  n. 网络，网状系统
never  ad. 决不，从来没有 
new  a. 新的；新鲜的 
news  n. 新闻，消息 
newspaper  n. 报纸 
next  a. 最近的，紧挨着的， 
nice  a. 令人愉快的；好的，
niece  n. 侄女，甥女 
night  n. 夜；夜间  
